,prompt,completion,topics
10,"I’m 29, and I have no debt. I’ve gotten a good start on my savings and retirement, too. My girlfriend and I are getting married in the next couple of years, and she has about \$90,000 in debt. I’m not paying on her debt yet, but I think together we can save up enough to pay it off by the time we’re married. Should I temporarily slow down saving for a house and start saving toward paying off her debt?","Yes, I would have a “girlfriend debt” account. That way when she becomes your wife, you two can write a check the moment you get back from the honeymoon and be debt-free — or at least knock out a huge portion of the debt. After that, the two of you — as in WE — resume saving for retirement, a house and so on.",['marriage']
11,"My wife and I are currently in Baby Step 2 and paying off all our debt except for our home. Is it wise to pay off everything except for the credit card debt, IF we know that we can settle for a far less amount and not have so much money going out the door? It would also cut the time it would take to be totally debt-free in half. Is this ok?","NO. It's unethical. It's dishonorable to not pay a bill you're morally and legally obligated to pay. If you're able to pay your bills, you pay your bills. Now, if you honestly can't every pay the bill and you have to settle upon a mutually agreed amount w/ the creditor or collector, then it's ok at that point to try to reach a settlement. Otherwise, it's a simple question of ethics. Pay the bill!",['debt snowball']
12,"My wife and I aren’t seeing eye-to-eye on a motorcycle. The bike was my dad’s, and I got it four years ago when he passed away. I’d like to keep it because I grew up riding it with him, and I still ride it today. My wife thinks we should sell it to pay off debt. We make about \$60,000 a year, and we have about \$36,000 to go before we’re debt-free except for our home. The bike is worth about \$2,300. Should I sell it?","There’s no way I’d sell that bike. If it were just a miscellaneous motorcycle, I’d sell the thing in about 20 seconds. But this bike is unique and special because it was your dad’s. There’s only one of those in the world.  It’s like a lady in the same scenario saying she has a \$2,300 diamond on her hand that’s her wedding ring. Would I tell her to sell it? No way! This bike is very much woven into the fabric of your life and your fondest memories. As a rule, you just don’t sell things like that. Now, there may be extreme cases sometimes where a person might have to consider selling something of that magnitude. If you were in a truly awful situation making \$10,000 a year and the ring is worth \$200,000 while you’re \$100,000 in debt, you’d have to give it some thought. But there’s no way I’d sell that bike in your case!",['']
13,"My wife and I got our starter emergency fund of \$1,000 in the bank, and we’re busy paying off credit cards and unpaid taxes from previous years (\$18k total debt). We're also saving up cash to take a vacation this summer. Any advice on how to pay down this debt faster? ","Skip the vacation and use the cash towards the debt. The reason people are successful following my plan is because I teach common sense combined with an unbridled, scorched-earth kind of intensity. Let’s take a closer look at this. You have unpaid taxes, not to mention credit card debt hanging over your heads, and you're talking about going on a trip? I’m sorry, but that’s completely irresponsible. ",['debt snowball']
14,"My wife and I have just started getting on track with our money. We have \$2,000 in savings (including starter EF), and the only debt we have is our house and two cars. I work in the oil and gas industry and make about \$180,000 a year, but things are pretty volatile right now. We’re upside down on both vehicles (we owe \$39,000 on one and about \$48,000 on the other). Under the circumstances, should we go ahead and build a fully funded emergency fund or work on paying off the cars?","Sell the cars, dude! You need to go to Kelly Blue Book’s website right now and find out what your cars are really worth. Then, put them on the market as a private sale. You’ll get thousands more selling them that way than you will at a dealership. You’ll have to talk to a local credit union or bank for a small loan to cover the difference, plus a little bit more so you guys can get a couple of little beaters to drive for a while. But man, you’ve got close to \$100,000 in car debt hanging over your heads. That’s a disaster! I want you to take a moment and think about how things would be without these stinking car payments. Your lives would change completely! Hopefully, you’ll be able to keep your job. But this car debt is the scariest thing I’ve heard in a long time, even with your great income. Get rid of those things now!",['upside-down']
15,"My wife and I are recent graduates with advanced degrees. We also have about \$300,000 in student loan debt. We know you're a rental property fan, so we’re thinking about buying a rental property, and the plan is to get a mortgage with monthly payments of \$400 and charge \$800 in rent. We could use the extra to help pay off our debt. Do you think this is a good idea?","Are you serious?! You're in a financial crisis and you're asking if it's ok to buy rental property?! You should not buy a rental property. Even if you did, this plan assumes that it’s constantly occupied, and the renter actually pays. Those are two pretty big assumptions. Use whatever money you have to get out of debt, and live simple, inexpensive lives until you get this behind you. Stop trying to borrow your way through all of your dreams. Doing that will only turn those dreams into nightmares!",['debt snowball']
16,Are rent-to-own plans ok? ,"I don’t recommend rent-to-own scenarios when it comes to buying a home, either. Most of those offerings are listed at full retail price and then some. Plus, the contracts are tilted toward the seller’s side of the equation. And very few people who sign a rent-to-own home deal follow through and become homeowners. When it comes to real estate deals, the only thing I would consider — other than an outright cash purchase — is leasing with an option to buy. That’s different than rent-to-own, because in a rent-to-own situation you’ve committed to the purchase. On a lease with an option to buy deal, you have the right to purchase, but not the obligation. Most of the people who use rent-to-own deals are not in good financial shape. They’re deeply in debt, and they have no money. Rent-to-own ensures they’ll stay there. ",['rent-to-own']
17,What is wrong with Zero Percent Interest?,"We just finished an extensive study of more than 10,000 millionaires. Not a single one of these folks said they became rich by borrowing money to buy things at zero percent interest. We know banks charge interest on loans, so how is it you think they’re loaning money at “zero percent interest? “Is it possible the pricing of the item has the interest rate built into it? I think the chances of that are pretty high. In addition, companies offering this kind of financing have highly researched data that tells them the vast majority of people who take out zero percent loans don’t pay them off in the specified period of time. What happens if you don’t live up to the terms of those contracts? It becomes a regular loan, and they back charge you for the interest. So, on average you’re paying for it all. I don’t know why you’d want to play with snakes. Snakes bite. And debt destroys your most powerful wealth-building tool—your income. ",['zero interest']
18,"I have a debt with a collection agency, and they have started calling my office. Last week, I made an agreement for monthly payments, along with an initial payment. All of a sudden, they were calling me again this morning at my office. What can I do legally? What's the process of getting them to stop?","I’m glad you’re keeping in mind that you have a legal and moral obligation to pay your debts. But collectors have rules they must follow, also. They’re governed by law just like everyone else. If they call you at work again, simply remind them of the terms of the payment agreement already in place and demand that they never call you at your office again. Also, send them a certified letter, return receipt requested, so that you’ll have proof you sent the letter and they received it. In the letter, let them know that according to guidelines set forth in the Federal Fair Debt Collection Practices Act you are formally demanding that they not call you at your office again. If they call you at your office after you demand that they stop, they’ll be in violation of federal law. And if that happens, let them know that you’ll be talking to a lawyer, and you will sue them!",['debt collection']
19,"What's the difference between Chapter 7, Chapter 11 and Chapter 13 bankruptcies?"," Chapter 7: A trustee is appointed to liquidate nonexempt assets to pay creditors; after the proceeds are exhausted, the remaining debt is discharged. There are eligibility requirements to file Chapter 7, such as the debtor must have had no Chapter 7 bankruptcy discharged in the preceding eight years and the applicant must pass a means test. This process is also known as a straight or liquidation bankruptcy. Chapter 11: Chapter 11 is a form of bankruptcy that involves a reorganization of a debtor's business affairs, debts, and assets. Named after the U.S. bankruptcy code 11, corporations generally file Chapter 11 if they require time to restructure their debts. This version of bankruptcy gives the debtor a fresh start. However, the terms are subject to the debtor's fulfillment of his obligations under the plan of reorganization. Chapter 11 bankruptcy is the most complex of all bankruptcy cases. It is also usually the most expensive form of a bankruptcy proceeding. Chapter 13: Also known as the ""wage earner plan"" enables individuals with a regular income to restructure their obligations to repay their debt over time. In such a plan, the debtor does not seek to earn general forgiveness of their outstanding debts. Rather, the debtor offers up a repayment plan that utilizes fixed installment payments. Such payments are made to a trustee who then forwards them to the creditor for a specified period, usually three to five years.",['bankruptcy']
20,How long does a bankruptcy stay on your credit report and besides that what are any other long-term effects of declaring bankruptcy? Seems like an easy way out.,"One of the biggest aftershocks of filing bankruptcy is that it stays on your credit report for years afterward. A Chapter 7 and 11 filing stays on your credit report for 10 years. Chapter 13 up to seven years.Another big problem is that it can follow you around when it comes to applications or when you apply for different types of licenses. Many of these ask if you’ve ever filed bankruptcy. It doesn’t ask if it’s still on your credit report; it will ask if you’ve ever filed bankruptcy. If you have, you’ll have instances for the rest of your life when you have to admit it and explain it all over again. So, it’s an emotional scar that follows you around for a long, long time. It also becomes public domain. Plus…Both federal and private student loans are more difficult to discharge in bankruptcy than other types of debt.  Too many bankruptcy filers never really recover from their financial distress because they never learn new and better ways to manage their money. That’s why I recommend people do everything they can to avoid bankruptcy. It’s not an easy do-over; it’s a last-resort kind of thing. And in the vast majority of situations, it’s just not necessary.",['bankruptcy']
21,True or False? Canceling a credit card will cancel out your credit history.,False. Canceling a credit card doesn't erase a person's credit history and it doesn’t erase their credit history with that company or their card either. ,['credit cards']
22,Why should I start w/ the smallest debt instead of the highest interest rate?," Personal finance is only 20% head knowledge and 80% behavior.  Pay off the smallest debts first in order to get some quick wins emotionally.  It is the same concept as if you were on a diet and you lose weight in the very first week. Now you are motivated to stay on the diet. If you don’t lose any weight, it’s back to the bear claws and milkshakes. ",['debt snowball']
23,When is the right time to buy a house in the Baby Steps?,"  Baby Step 1 is saving \$1,000 for a beginner emergency fund. Baby Step 2 is paying off all consumer debt, from smallest to largest, using the debt snowball. Baby Step 3 is where you increase your emergency fund to the point where you have three to six months of expenses set aside.Once you’ve done all that you can begin saving for a home. I’ll call it Baby Step 3b. For folks looking to buy a house, I advise saving enough money for a down payment of at least 20 percent. I don’t beat people up over mortgage debt, but I do advise them to get a 15-year, fixed rate loan, where the payments are no more than 25 percent of their monthly take-home pay. When saving up for a home down payment we’re talking a matter of months to one- or two-years tops—not a five-year detour. You don’t want to lose momentum for that long. Once you’re finished, get back on track with your retirement plan.","['house', 'baby steps']"
24, My fiancé and I are planning to be married in less than a year.  We both have debt.  Should we wait to have the wedding until we're both debt-free? ," No.  When two people know they really love each other, they should get married whenever they feel in their hearts the time is right.  At this point, you shouldn’t be thinking about money as anything except an indicator of where you’re going. It doesn’t matter who got into debt or how, because everyone makes mistakes. But if you’re both serious about getting out of debt, living on less than you make, and are in agreement about how the dollars are going to be handled, then — where money is concerned — you’re ready to be married. ",['marriage']
25,How about having a baby?  Should you wait until your debt is paid off? ," No. If you let money determine whether or not you have kids, you might never have them. It would be just as crazy to let any of your money goals determine your baby timeline: ""We’ll have kids when we’re investing in retirement, or when we’re able to fund their college educations, or when the house is paid off."" Children are worth more than any amount of money, so if you want to be a parent and you and your spouse are ready in every other way, don’t let debt stop you.",['kids']
26,"My wife and I are currently in Baby Step 2 and paying off all our debt except for our home. Is it wise to pay off everything except for the credit card debt, IF we know that we can settle for a far less amount and not have so much money going out the door? It would also cut the time it would take to be totally Debt Free in half.  Is this ok?"," NO.  It's unethical.  It's dishonorable to not pay a bill you're morally and legally obligated to pay.  If you're able to pay your bills, you pay your bills.  Now, if you honestly can't every pay the bill and you have to settle upon a mutually agreed amount w/ the creditor or collector, then it's ok at that point to try to reach a settlement.  Otherwise, it's a simple question of ethics.  Pay the bill!",['credit cards']
27,"My wife just had our first child. Now we have about \$3,000 in medical bills not covered by insurance. We’ve got \$8,000 in our emergency fund, and I make between \$25,000 and \$30,000 a year. Should we try setting up a payment plan with the hospital, or is dipping into emergency fund a better idea?"," I’d write a check today and knock out that hospital bill. This falls under the heading of “emergency” in my mind, so pay the bill and jump back into rebuilding your emergency fund.",['emergency fund']
28,I’m 47 and debt-free. Do you think I should stop making contributions to my 401(k) account for an entire year in order to save up an emergency fund? I'm fully funding the 401k and I get a full match?!  Why the heck would I do that and miss out on the match and the interest gained?," I recommend that people put off or stop investing until they are debt-free, except for their home, and have an emergency fund of three to six months of expenses in place. Here’s the way I look at it. If you have no emergency fund, but you’re contributing to your 401(k), there’s a good chance you’ll end up cashing out your 401(k) if a large, unexpected expense comes along. When you cash out a 401(k) early, you get hit with a penalty plus your tax rate. That’s not a good plan!",['investing']
29,"My wife and I got our starter emergency fund of \$1,000 in the bank, and we’re busy paying off credit cards and unpaid taxes from previous years (\$18k total debt).  We're also saving up cash to take a vacation this summer. Any advice on how to pay down this debt faster?  ","Skip the vacation and use the cash towards the debt. The reason people are successful following my plan is because I teach common sense combined with an unbridled, scorched-earth kind of intensity.Let’s take a closer look at this. You have unpaid taxes, not to mention credit card debt hanging over your heads, and you're talking about going on a trip? I’m sorry, but that’s completely irresponsible. ",['']
30,What happens to the money in a 529 College Savings Plan if the child gets a scholarship to college?,"  Multiple possibilities:Remember it can be used for more than just class tuition, so if it's not ""truly"" a free ride…room/board/books/computer and/or equipment or services related to school (like internet access, etc.) can be paid for with a 529.If you have a younger sibling…it can transfer w/ no tax consequences for college and/or up to \$10,000 in annual expenses for elementary or secondary schools (like private). If assets in a 529 are used for something other than qualified education expenses, you'll have to pay both federal income taxes and a 10% penalty on the earnings. (An interesting side note: You can withdraw up to the amount of the scholarship from your 529 college savings plan without paying a penalty). ",['college']
31,"I have a mortgage that will be paid off in the next two years with no problem, should I pay extra toward the house or invest that money over and above the 15% you recommend putting toward retirement since I will have it paid off soon and can take advantage of two years of interest in my mutual funds?"," I would pay extra on the house. You know, a magical thing happens when you pay down a house and sell it somewhere down the road. The money comes back. You didn’t lose it.Honestly, you’re not doing a bad thing by putting it into retirement either. But you don’t know exactly what will happen over the next several years of your life or the life of your investments. You might think you know. You might even have a plan. But the truth is even the best plans don’t always work out the way we want.  And if that happens, it sure would be neat to own your home outright!","['house', 'retirement']"
32,"I’m a 26-year-old journalist making \$26,000 annually, and the only debt I have is \$31,000 in student loans. I’m following Dave's plan, so I also have \$1,000 in my starter emergency fund and am working side jobs to make extra money. Since my job field is volatile, I’ve lost and found a couple of jobs in the last few years and have a really old car. Should I beef up my emergency fund in case I go through another job loss and/or I have problems with my old car?"," In your case, I would increase your emergency fund to around \$3,000. Usually, I’d rather people focus on knocking out debt once they have a beginner emergency fund in place, but it sounds like you’ve got extenuating circumstances in your life. Older cars, especially those with lots of miles, could need attention at any time. And you’re right about your job too. The newspaper world is pretty volatile and even downright insecure at times. This isn’t your fault, but I’m glad you’re looking ahead.  Just push the pause button on paying off debt for the moment and build up your emergency fund a bit more. That will give you a little more wiggle room in case life decides to throw something unexpected at you. Then, go back to paying off debt before you increase your emergency fund to a full three to six months of expenses. Having a little financial stability is a big thing for you right now. It will help you feel a little more secure until the debt is gone. And once that happens, you’ll really be able to fly!",['']
33," I know Dave teaches in Baby Step 3 to save 10% towards retirement…  My company matches what I save, so does the total of what I'm saving and what they match equal the 15%?","Nope…Ramsey Solutions teaches in Baby Step 4 to save 15% towards retirement.No…we consider that a ""bonus"" (or icing on the cake).  You know the match is there, but don't count it and watch what happens.  It's going to help you establish the habit of being intentional and preparing for later…especially if the job and/or match goes away.",['investing']
34, When is it okay to have a little fun and buy a boat or a motorcycle when you're doing the Baby Steps?,"I always recommend that folks complete the first three Baby Steps before running out to buy a bunch of toys. After you’ve gotten this far, it’s okay to have a little fun and save up for a toy. But don’t forget about Baby Step 4, which is putting 15 percent of your income into pre-tax retirement plans, like mutual funds and Roth IRAs. Don’t neglect saving for college, either, if you have kids. Just make sure you don’t sacrifice your financial health for the shiny things!",['baby steps']
35,"Are credit cards and student loans ""secured debts"" or ""unsecured debts""? ","They are ""unsecured debts""…which means you were loaned money, but there isn't alien on anything. Meaning there's nothing that can directly be repossessed if the borrower doesn't pay. (However, they can sue you eventually, and then get a lien against something AFTER they win a lawsuit.). A home mortgage loan and a car loan are examples of ""secured debt"". If you don't pay, they can foreclose and take the house. The same is true with a car loan. If you don’t make the payments, they can take the car. Side note: If you're in financial trouble, you’d make the car payment before paying on your student loan, and you’d make your house payment before paying on a credit card.",['']
36,When is the right time to buy a house in the Baby Steps?," Baby Step 1 is saving \$1,000 for a beginner emergency fund. Baby Step 2 is paying off all consumer debt, from smallest to largest, using the debt snowball. Baby Step 3 is where you increase your emergency fund to the point where you have three to six months of expenses set aside. Once you’ve done all that you can begin saving for a home. I’ll call it Baby Step 3b. For folks looking to buy a house, I advise saving enough money for a down payment of at least 20 percent. I don’t beat people up over mortgage debt, but I do advise them to get a 15-year, fixed rate loan, where the payments are no more than 25 percent of their monthly take-home pay.","['baby steps', 'house']"
37,How Much House Can I Afford Based on My Salary?,"To calculate how much house you can afford, use the 25% rule—never spend more than 25% of your monthly take-home pay (after tax) on monthly mortgage payments. That 25% limit includes principal, interest, property taxes, home insurance, private mortgage insurance (PMI) and homeowners’ association (HOA) fees. ",['house']
38,How much do I need for a down payment? ,"If you have the money, the answer is 100%. It’s always a good move to buy in cash or put down as much money as possible to avoid a monthly mortgage that follows you around forever. If you are getting a mortgage, aim for at least a 20% down payment. That way you can avoid paying for private mortgage insurance (PMI). If that’s not possible, don’t put down any lower than 10%. Otherwise, you’ll be killing yourself with extra interest and fees. ",['house']
39,Are rent-to-own plans okay?  ,"I don’t recommend rent-to-own scenarios when it comes to buying a home, either. Most of those offerings are listed at full retail price and then some. Plus, the contracts are tilted toward the seller’s side of the equation. And very few people who sign a rent-to-own home deal follow through and become homeowners. When it comes to real estate deals, the only thing I would consider — other than an outright cash purchase — is leasing with an option to buy. That’s different than rent-to-own, because in a rent-to-own situation you’ve committed to the purchase. On a lease with an option to buy deal, you have the right to purchase, but not the obligation. Most of the people who use rent-to-own deals are not in good financial shape. They’re deeply in debt, and they have no money. Rent-to-own ensures they’ll stay there.",['rent-to-own']
40,"My wife and I just became debt-free, and we’re saving for our first house. We have about \$75,000 in savings, and we’d like to buy a home with cash in the next few years. Where do you think we should place our money so it’s working for us while we save?","I don’t advise playing the market on the short term. If I were in your shoes and looking at possibly a two- to four-year window, I’d just pile the cash in a money market account or possibly a balanced fund. I’m a big fan of growth stock mutual funds when it comes to long-term investing. The problem with that in this scenario would be the volatility of the market. By the time you’ve saved up more money and spent time deciding on a house, the market may be down. All you’re looking for in this scenario is a wise, safe place to park it and pile it up while you prepare.",['investing']
41,"I have a mortgage that will be paid off in the next two years with no problem, should I pay extra toward the house or invest that money over and above the 15% you recommend putting toward retirement since I will have it paid off soon and can take advantage of two years of interest in my mutual funds?","I would pay extra on the house. You know, a magical thing happens when you pay down a house and sell it somewhere down the road. The money comes back. You didn’t lose it. Honestly, you’re not doing a bad thing by putting it into retirement either. But you don’t know exactly what will happen over the next several years of your life or the life of your investments. You might think you know. You might even have a plan. But the truth is even the best plans don’t always work out the way we want.  And if that happens, it sure would be neat to own your home outright!",['']
42,"I’m debt-free except for my home, and I’ll have that paid off in about 12 months. I currently make \$60,000 a year and live in an area of Florida that is designated a flood plain, because a river that empties into Tampa Bay runs behind my home. Currently, I’m paying \$1,070 a month for flood insurance. My house is worth \$325,000, and water has only come up into the yard twice in over 20 years.  Since I’m doing pretty well financially, do you think I need to keep my flood insurance policy? Are you a fan of flood insurance?","As far as being a fan, it all depends on where you live and your property situation.  From what you’ve told me about the history of your property, it sounds like your biggest concern might be if a hurricane caused a backwash in your area. Insurance is already pretty tough in Florida when it comes to those kinds of things, but you don’t want to run the risk of your house getting mowed down and losing everything. If I were in your shoes, I think I’d like the protection of flood insurance. What you’re paying for the policy is such a small percentage of your world, compared to the value of your home and your income. Keep the coverage!",['insurance']
43,How does an interest-only mortgage work and would you ever consider one?,"An interest-only mortgage is just what it sounds like. You’re paying only the interest on the loan, and none of what you actually owe. The borrower only pays the interest on the mortgage through monthly payments for a term that is fixed. An interest-only mortgage never reduces the principal balance. The loan balance will actually remain unchanged unless the borrower pays extra. It’s a good way to stay in debt for the rest of your life, so they’re not a good idea. Lots of people look at this product and say, “Wow, I’ll get a lower monthly payment, and then I can throw tons of cash at the principal.” Guess what, in most cases it doesn’t work out that way. Why not take out a good 15-year fixed rate mortgage and put a bunch of money toward the principal? Everyone thinks they have a great idea for tricking the system. But the only system that really works is to pay off debt as quickly as you can. Interest-only mortgages are like adjustable-rate mortgages and high fixed rate mortgages — they’re good things to stay away from completely! ",['mortgage']
44,"I'm about to purchase my first house and I keep hearing the word ""Escrow"" come up. What is ""Escrow""?","Escrow is the process when a neutral, third party is in charge of holding something of value—usually cash—until a transaction between a buyer and seller is complete.  The main job of escrow is to ensure a fair and smooth real estate deal from beginning to end.  If you’re a home buyer or seller, being in escrow means different things:As a buyer, escrow starts when the seller accepts your offer.  You agree to pay a percentage of the price of the property into escrow for safekeeping. This is a small percentage of the sale price of the house (between 1-2%) which you'll make payable to the escrow provider.  They'll hang on to your money until the sale is final.As a seller, you agree to take the house off the market while it’s in escrow and make it available for inspections.When you finally get to closing day, the earnest money will be subtracted from the amount you owe the seller and put toward the deposit or closing costs. If for any reason the seller doesn’t make an agreed-upon repair by the closing date, then money can be held from them in escrow to cover the cost to you. And if the deal falls through? Don’t worry: You’ll get your earnest money back minus a small cancellation fee. ",['']
45, A friend recommended a Subprime Mortgage. Can you explain how they work? ,"A subprime mortgage is a housing loan given to people with less-than-perfect credit. They were designed to bring the American Dream of homeownership within everyone’s reach.  The biggest difference between a conventional and subprime mortgage is the interest rate. Because a subprime borrower poses a greater threat to the lender, the lender charges a higher interest rate per month. This means, in the long run, you’ll pay more for your house than you would through a conventional mortgage. ",['mortgage']
46,How about an Interest Only Mortgage? Can you tell me how those work?," An interest-only mortgage requires you to pay only interest for a fixed amount of time, usually somewhere between 5 and 10 years. If you’re paying only interest, your monthly payments will be much lower than the payment on a conventional mortgage—lower, sure, until the interest-only time frame ends.Once the time frame ends, you’ll have to pay interest and your loan balance. And here’s the catch: you won’t get extra time to pay off your mortgage. So, if you took out a 15-year mortgage, with a 5-year interest-only time frame, you have 10 years to pay the entire loan balance plus interest!",['']
47,My parents are considering a Reverse Mortgage.  Does Dave EVER recommend a Reverse Mortgage? How does a Reverse Mortgage work? Is there an age limit?,"NO!  A reverse mortgage is a type of loan that uses your home equity to provide the funds for the loan itself.  It’s basically a chance for retirees to tap into the equity they’ve built up over many years of paying their mortgage and turn it into a loan for themselves. With a reverse mortgage, you don’t make payments on your home’s principal like you would with a regular mortgage—you take payments from the equity you’ve built. The bank is lending you back the money you’ve already paid on your home but charging you interest at the same time. For some folks, the appealing part of a reverse mortgage is that you don’t make any monthly payments to the lender or pay the interest until you sell your home.Problem is…If you die before you’ve sold your home, those you leave behind are stuck with two options. They can either pay off the full reverse mortgage and all the interest that’s piled up over the years or surrender your house to the bank.  So, it might seem like a reverse mortgage is a helpful cash-flow option for people in their retirement, but these mortgages put seniors and their heirs at financial risk.It’s only available to homeowners who are 62 or older and is aimed at folks who have paid off their mortgage (or most of it anyway). ",['mortgage']
48,What is Capital Gains Tax?,"A capital gains tax is a tax on the profit realized on the sale of a non-inventory asset.  It's assessed on the positive difference between the sale price of the asset and its original purchase price. The most common capital gains are realized from the sale of stocks, bonds, precious metals, real estate, and property. Long-term capital gains tax is a levy on the profits from the sale of assets held for more than a year. The rates are 0%, 15%, or 20%, depending on your tax bracket. Short term capital tax applies to assets held for a year or less and is taxed as ordinary income.Here's how it can work. A single taxpayer who purchased a house for \$200,000 and later sells his house for \$500,000 had made a \$300,000 profit on the sale. After applying the \$250,000 exemption from his bracket, he must report a capital gain of \$50,000, which is the amount subject to the capital gains tax. In most cases, significant repairs and improvements can be added to the base cost of the house, thus reducing even more the amount of taxable capital gain.",['tax']
49,"What is a ""Short Sale"" in Real Estate?","A short sale is when a homeowner sells his or her property for less than the amount owed on their mortgage. In other words, the seller is ""short"" the cash needed to fully repay the mortgage lender. Typically, the bank or lender agrees to a short sale in order to recoup a portion of the mortgage loan owed to them.",['real estate']
50, What kind of insurance does recommend that pays for in-home care or a nursing home?  What age should you get it?, Long Term Care Insurance.  Dave recommends it for anyone over 60…so no family member is stuck w/ the cost of in-home care of nursing home.  ,['insurance']
51, How much and what term life insurance does Dave recommend?  What do you when the term runs out???," 10-12 times your yearly income in term insurance.  20-year term (Dave, depending on the case, has recommended as low as 15 and as high as 30). If you’ve followed the Baby Steps, gotten out of debt and saved up tons of money, you should be fine with a 20-year. ",['insurance']
52, What if your wife is a stay home mom?  Do you need insurance on her?," If your wife is a stay home mom, you should have \$200,000 to \$400,000 on her. If something happens to her, you have to hire Mary Poppins.",['insurance']
53,Should I purchase dental insurance?,"Dental insurance is one of those things where it’s easy to see that the payout is greater than the return. We’ve had dental insurance proposed to us at my company several times as an employee benefit, but when you add up what you pay for it you’ll find you rarely spend that much on dentistry. We advise self-insuring for dental care.",['insurance']
54,"My wife just had our first child. Now we have about \$3,000 in medical bills not covered by insurance. We’ve got \$8,000 in our emergency fund, and I make between \$25,000 and \$30,000 a year. Should we try setting up a payment plan with the hospital, or is dipping into emergency fund a better idea?","I’d write a check today and knock out that hospital bill. This falls under the heading of “emergency” in my mind, so pay the bill and jump back into rebuilding your emergency fund.",['']
